book_id,processed_dir,title,genre_primary,chunk_index,pc,direction,score,text_preview
55,wonderful_wizard_oz,The Wonderful Wizard of Oz,Fantasy,70,PC1,negative,-0.4255940318107605,"face clean after the dust of the road, and to drink, so the dry bread will not stick in my throat.” “It must be inconvenient to be made of flesh,” said the Scarecrow thoughtfully, “for you must sleep, and eat and drink. "
113,secret_garden,The Secret Garden,Children's Fiction,124,PC1,negative,-0.419877827167511,"wings and made a darting flight to the top of a tree, where he perched and sang loudly. That reminded Mary of the first time she had seen him. He had been swinging on a tree-top then and she had been standing in the orch"
16,peter_pan,Peter Pan,Fantasy,163,PC1,negative,-0.4191574454307556,"after Hook. Once more the boys emerged into the open; but the dangers of the night were not yet over, for presently Nibs rushed breathless into their midst, pursued by a pack of wolves. The tongues of the pursuers were h"
113,secret_garden,The Secret Garden,Children's Fiction,210,PC1,negative,-0.40848636627197266,left all by themselves so long; and indeed it was different from any other place she had ever seen in her life. “How still it is!” she whispered. “How still!” Then she waited a moment and listened at the stillness. The r
768,wuthering_heights,Wuthering Heights,Gothic,651,PC1,negative,-0.40247875452041626,"to his teaching. Till she reached the age of thirteen she had not once been beyond the range of the park by herself. Mr. Linton would take her with him a mile or so outside, on rare occasions; but he trusted her to no on"
113,secret_garden,The Secret Garden,Children's Fiction,170,PC1,negative,-0.3994019031524658,"it, trying to imagine what it would be like to lie down on one of the little snow-white clouds and float about. She went into the first kitchen-garden and found Ben Weatherstaff working there with two other gardeners. Th"
55,wonderful_wizard_oz,The Wonderful Wizard of Oz,Fantasy,222,PC1,negative,-0.39543402194976807,"rage, and blew three times upon her silver whistle. Forthwith there was heard a great buzzing in the air, and a swarm of black bees came flying toward her. “Go to the strangers and sting them to death!” commanded the Wit"
55,wonderful_wizard_oz,The Wonderful Wizard of Oz,Fantasy,345,PC1,negative,-0.3916759490966797,"to a thick wood. There was no way of going around it, for it seemed to extend to the right and left as far as they could see; and, besides, they did not dare change the direction of their journey for fear of getting lost"
768,wuthering_heights,Wuthering Heights,Gothic,364,PC1,negative,-0.3851974606513977,"principles, and still less sympathy for her feelings. I wanted something to happen which might have the effect of freeing both Wuthering Heights and the Grange of Mr. Heathcliff, quietly; leaving us as we had been prior "
768,wuthering_heights,Wuthering Heights,Gothic,428,PC1,negative,-0.3839545249938965,"once among the heather on those hills. Open the window again wide: fasten it open! Quick, why don’t you move?” “Because I won’t give you your death of cold,” I answered. “You won’t give me a chance of life, you mean,” sh"
11,alice_s_adventures_wonderland,Alice's Adventures in Wonderland,Fantasy,9,PC1,negative,-0.3787720203399658,"mice in the air, I’m afraid, but you might catch a bat, and that’s very like a mouse, you know. But do cats eat bats, I wonder?” And here Alice began to get rather sleepy, and went on saying to herself, in a dreamy sort "
11,alice_s_adventures_wonderland,Alice's Adventures in Wonderland,Fantasy,98,PC1,negative,-0.3677822947502136,"it as far as they would go, and broke off a bit of the edge with each hand. “And now which is which?” she said to herself, and nibbled a little of the right-hand bit to try the effect: the next moment she felt a violent "
1260,jane_eyre,Jane Eyre,Gothic,52,PC1,negative,-0.36669832468032837,"of some coming vision from another world. My heart beat thick, my head grew hot; a sound filled my ears, which I deemed the rushing of wings; something seemed near me; I was oppressed, suffocated: endurance broke down; I"
1342,pride_prejudice,Pride and Prejudice,Romance,475,PC2,positive,0.5126047730445862,"I go on I shall displease you by saying what I think of persons you esteem. Stop me, whilst you can.” “You persist, then, in supposing his sisters influence him?” “Yes, in conjunction with his friend.” “I cannot believe "
1342,pride_prejudice,Pride and Prejudice,Romance,352,PC2,positive,0.5058188438415527,"and whose astonishment at being so addressed was very evident. Her cousin prefaced his speech with a solemn bow, and though she could not hear a word of it, she felt as if hearing it all, and saw in the motion of his lip"
1342,pride_prejudice,Pride and Prejudice,Romance,423,PC2,positive,0.49198639392852783,"love in Mr. Darcy for herself, she would have ordered her wedding clothes. But the case is this:--we are not rich enough or grand enough for them; and she is the more anxious to get Miss Darcy for her brother, from the n"
1513,romeo_juliet,Romeo and Juliet,Tragedy,38,PC2,positive,0.4346567988395691,"I have done. God mark thee to his grace Thou wast the prettiest babe that e’er I nurs’d: And I might live to see thee married once, I have my wish. LADY CAPULET. Marry, that marry is the very theme I came to talk of. Tel"
1513,romeo_juliet,Romeo and Juliet,Tragedy,182,PC2,positive,0.41289955377578735,"to rate her so. CAPULET. And why, my lady wisdom? Hold your tongue, Good prudence; smatter with your gossips, go. NURSE. I speak no treason. CAPULET. O God ye good-en! NURSE. May not one speak? CAPULET. Peace, you mumbli"
1260,jane_eyre,Jane Eyre,Gothic,1046,PC2,positive,0.4014192223548889,"them.” “I will myself put the diamond chain round your neck, and the circlet on your forehead,—which it will become: for nature, at least, has stamped her patent of nobility on this brow, Jane; and I will clasp the brace"
768,wuthering_heights,Wuthering Heights,Gothic,511,PC2,positive,0.39776402711868286,"as fond of each other as any two people can be,” cried Isabella, with sudden vivacity. “No one has a right to talk in that manner, and I won’t hear my brother depreciated in silence!” “Your brother is wondrous fond of yo"
1260,jane_eyre,Jane Eyre,Gothic,1030,PC2,positive,0.394412636756897,"was coldness both from her and her mother. I would not—I could not—marry Miss Ingram. You—you strange, you almost unearthly thing!—I love as my own flesh. You—poor and obscure, and small and plain as you are—I entreat to"
768,wuthering_heights,Wuthering Heights,Gothic,875,PC2,positive,0.39082270860671997,"morning, Catherine learnt my betrayal of her confidence, and she learnt also that her secret visits were to end. In vain she wept and writhed against the interdict, and implored her father to have pity on Linton: all she"
1513,romeo_juliet,Romeo and Juliet,Tragedy,201,PC2,positive,0.38124167919158936,"tell him of this. I’ll have this knot knit up tomorrow morning. JULIET. I met the youthful lord at Lawrence’ cell, And gave him what becomed love I might, Not stepping o’er the bounds of modesty. CAPULET. Why, I am glad "
1184,count_monte_cristo,The Count of Monte Cristo,Adventure,2206,PC2,positive,0.38100355863571167,"could lavish the tenderness some fathers do on their daughters. What though she has lost her own mother at a tender age, she has had the happiness to find a second mother in Madame de Villefort.’ The world, however, is m"
1260,jane_eyre,Jane Eyre,Gothic,1584,PC2,positive,0.3791269063949585,"love; and I will not be regarded in the light of a mere money speculation. And I do not want a stranger—unsympathising, alien, different from me; I want my kindred: those with whom I have full fellow-feeling. Say again y"
768,wuthering_heights,Wuthering Heights,Gothic,815,PC2,positive,0.37561243772506714,"called me a pitiful, shuffling, worthless thing; and said you despised me; and if he had been in my place, he would be more the master of the Grange than your father by this time. But you don’t despise me, do you, Miss—?"
1184,count_monte_cristo,The Count of Monte Cristo,Adventure,3102,PC2,positive,0.35784637928009033,"but because she will marry, a union with any other would have caused him the same sorrow. Old age is selfish, sir, and Mademoiselle de Villefort has been a faithful companion to M. Noirtier, which she cannot be when she "
84,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus",Sci-Fi,484,PC2,positive,0.35367172956466675,"returning to yourself. And yet you are still unhappy and still avoid our society. For some time I was lost in conjecture as to the cause of this, but yesterday an idea struck me, and if it is well founded, I conjure you "
36,war_worlds,The War of the Worlds,Sci-Fi,30,PC2,negative,-0.5518261194229126,"the end. It was dropping off in flakes and raining down upon the sand. A large piece suddenly came off and fell with a sharp noise that brought his heart into his mouth. For a minute he scarcely realised what this meant,"
521,robinson_crusoe,Robinson Crusoe,Adventure,228,PC2,negative,-0.5419543981552124,"a W. and by S. sun, or thereabouts, which, in those countries, is near the setting. Before I set up my tent I drew a half-circle before the hollow place, which took in about ten yards in its semi-diameter from the rock, "
36,war_worlds,The War of the Worlds,Sci-Fi,139,PC2,negative,-0.519238293170929,"about its strange body. It picked its road as it went striding along, and the brazen hood that surmounted it moved to and fro with the inevitable suggestion of a head looking about. Behind the main body was a huge mass o"
36,war_worlds,The War of the Worlds,Sci-Fi,50,PC2,negative,-0.49263715744018555,"pushed him in. The end of the cylinder was being screwed out from within. Nearly two feet of shining screw projected. Somebody blundered against me, and I narrowly missed being pitched onto the top of the screw. I turned"
521,robinson_crusoe,Robinson Crusoe,Adventure,259,PC2,negative,-0.49111270904541016,"to see if I could spy a ship—I say, giving over these things, I began to apply myself to arrange my way of living, and to make things as easy to me as I could. I have already described my habitation, which was a tent und"
84,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus",Sci-Fi,684,PC2,negative,-0.4797740578651428,"difficulty of my labours. One inscription that he left was in these words: “Prepare! Your toils only begin; wrap yourself in furs and provide food, for we shall soon enter upon a journey where your sufferings will satisf"
521,robinson_crusoe,Robinson Crusoe,Adventure,497,PC2,negative,-0.47828274965286255,"and by the dint of hard labour, till I had brought it to be a very handsome periagua, and big enough to have carried six-and-twenty men, and consequently big enough to have carried me and all my cargo. When I had gone th"
1184,count_monte_cristo,The Count of Monte Cristo,Adventure,823,PC2,negative,-0.47242146730422974,"for this purpose. With the aid of his pickaxe, Dantès, after the manner of a labor-saving pioneer, dug a mine between the upper rock and the one that supported it, filled it with powder, then made a match by rolling his "
35,time_machine,The Time Machine,Sci-Fi,184,PC2,negative,-0.47203367948532104,"while I turned this over in my mind I continued to descend. At last, with intense relief, I saw dimly coming up, a foot to the right of me, a slender loophole in the wall. Swinging myself in, I found it was the aperture "
84,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus",Sci-Fi,559,PC2,negative,-0.4688990116119385,"encounter with my fellow creatures. At one time the moon, which had before been clear, was suddenly overspread by a thick cloud, and I took advantage of the moment of darkness and cast my basket into the sea; I listened "
84,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus",Sci-Fi,30,PC2,negative,-0.46726638078689575,"seemed to have no end. Some of my comrades groaned, and my own mind began to grow watchful with anxious thoughts, when a strange sight suddenly attracted our attention and diverted our solicitude from our own situation. "
35,time_machine,The Time Machine,Sci-Fi,157,PC2,negative,-0.4556809067726135,I clenched my hands and steadfastly looked into the glaring eyeballs. I was afraid to turn. Then the thought of the absolute security in which humanity appeared to be living came to my mind. And then I remembered that st
345,dracula,Dracula,Horror,366,PC2,negative,-0.45294034481048584,"from a gun--a raging madman, with his eyes rolling and his face convulsed with fear. “Save me! save me!” he cried, and then looked round on the blanket of fog. His horror turned to despair, and in a steady voice he said:"
35,time_machine,The Time Machine,Sci-Fi,288,PC2,negative,-0.4523281455039978,"remembered my former headlong fall, I began to reverse my motion. Slower and slower went the circling hands until the thousands one seemed motionless and the daily one was no longer a mere mist upon its scale. Still slow"
1184,count_monte_cristo,The Count of Monte Cristo,Adventure,4507,PC2,negative,-0.4485846161842346,"he found himself between a hillock and a clump of high weeds; three men, standing silent, formed a triangle, of which he was the centre. He wished to speak, but his tongue refused to move. “_Avanti!_” said the same sharp"
1661,adventures_sherlock_holmes,The Adventures of Sherlock Holmes,Mystery,411,PC3,positive,0.4815501868724823,"“S. H. for J. O.” Then he sealed it and addressed it to “Captain James Calhoun, Barque _Lone Star_, Savannah, Georgia.” “That will await him when he enters port,” said he, chuckling. “It may give him a sleepless night. H"
103,around_world_eighty_days,Around the World in Eighty Days,Adventure,579,PC3,positive,0.45230183005332947,"captain forgot in an instant his anger, his imprisonment, and all his grudges against his passenger. The “Henrietta” was twenty years old; it was a great bargain. The bomb would not go off after all. Mr. Fogg had taken a"
103,around_world_eighty_days,Around the World in Eighty Days,Adventure,102,PC3,positive,0.446899950504303,"repaired to the telegraph office, whence he sent the dispatch which we have seen to the London police office. A quarter of an hour later found Fix, with a small bag in his hand, proceeding on board the “Mongolia;” and, e"
103,around_world_eighty_days,Around the World in Eighty Days,Adventure,408,PC3,positive,0.44531702995300293,"made him miss the Yokohama steamer.” Passepartout listened, with closed fists. “Now,” resumed Fix, “Mr. Fogg seems to be going back to England. Well, I will follow him there. But hereafter I will do as much to keep obsta"
36,war_worlds,The War of the Worlds,Sci-Fi,348,PC3,positive,0.4427622854709625,"of her sister-in-law, gave way to panic. She had never been out of England before, she would rather die than trust herself friendless in a foreign country, and so forth. She seemed, poor woman, to imagine that the French"
120,treasure_island,Treasure Island,Adventure,131,PC3,positive,0.44135481119155884,"best ship, sir, and the choicest crew in England. Hawkins shall come as cabin-boy. You’ll make a famous cabin-boy, Hawkins. You, Livesey, are ship’s doctor; I am admiral. We’ll take Redruth, Joyce, and Hunter. We’ll have"
120,treasure_island,Treasure Island,Adventure,348,PC3,positive,0.4264615774154663,"were the first to come forward. Well armed, they stole out of the stockade, but it proved a useless mission. The mutineers were bolder than we fancied or they put more trust in Israel’s gunnery. For four or five of them "
120,treasure_island,Treasure Island,Adventure,218,PC3,positive,0.42258116602897644,"help us to get it aboard, by the powers. Then we’ll see. If I was sure of you all, sons of double Dutchmen, I’d have Cap’n Smollett navigate us half-way back again before I struck.” “Why, we’re all seamen aboard here, I "
1661,adventures_sherlock_holmes,The Adventures of Sherlock Holmes,Mystery,753,PC3,positive,0.4203694760799408,what you advise.” We both sat in silence for some little time after listening to this extraordinary narrative. Then Sherlock Holmes pulled down from the shelf one of the ponderous commonplace books in which he placed his
1342,pride_prejudice,Pride and Prejudice,Romance,1025,PC3,positive,0.40887564420700073,"than their virtue, she could easily conjecture. Mr. Gardiner soon wrote again to his brother. To Mr. Bennet’s acknowledgments he briefly replied, with assurances of his eagerness to promote the welfare of any of his fami"
521,robinson_crusoe,Robinson Crusoe,Adventure,57,PC3,positive,0.4024644196033478,"no expense; I should be his messmate and his companion; and if I could carry anything with me, I should have all the advantage of it that the trade would admit; and perhaps I might meet with some encouragement. I embrace"
1257,three_musketeers,The Three Musketeers,Adventure,1742,PC3,positive,0.3999415636062622,"this man, and hesitated. “Who are you, sir,” asked she, “who has the kindness to trouble yourself so particularly on my account?” “You may perceive, madame, by my uniform, that I am an officer in the English navy,” repli"
345,dracula,Dracula,Horror,663,PC3,positive,0.39799514412879944,"However, I set it all right; and he is going on well. “The two carriers were at first loud in their threats of actions for damages, and promised to rain all the penalties of the law on us. Their threats were, however, mi"
1184,count_monte_cristo,The Count of Monte Cristo,Adventure,560,PC3,positive,0.39618760347366333,"such was the case. I was generally liked on board, and had the sailors possessed the right of selecting a captain themselves, I feel convinced their choice would have fallen on me. There was only one person among the cre"
345,dracula,Dracula,Horror,132,PC3,positive,0.38824939727783203,"my motive was that no local interest might be served save my wish only; and as one of London residence might, perhaps, have some purpose of himself or friend to serve, I went thus afield to seek my agent, whose labours s"
84,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus",Sci-Fi,152,PC3,negative,-0.41012778878211975,"of my dead mother in my arms; a shroud enveloped her form, and I saw the grave-worms crawling in the folds of the flannel. I started from my sleep with horror; a cold dew covered my forehead, my teeth chattered, and ever"
345,dracula,Dracula,Horror,1316,PC3,negative,-0.40925055742263794,"he may baffle us for years; and in the meantime!--the thought is too horrible, I dare not think of it even now. This I know: that if ever there was a woman who was all perfection, that one is my poor wronged darling. I l"
345,dracula,Dracula,Horror,997,PC3,negative,-0.4011373221874237,"the first I was sceptic. Were it not that through long years I have train myself to keep an open mind, I could not have believe until such time as that fact thunder on my ear. ‘See! see! I prove; I prove.’ Alas! Had I kn"
345,dracula,Dracula,Horror,1259,PC3,negative,-0.39904990792274475,"and of His children that He has placed thereon. And oh, Madam Mina, my dear, my dear, may we who love you be there to see, when that red scar, the sign of God’s knowledge of what has been, shall pass away, and leave your"
84,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus",Sci-Fi,429,PC3,negative,-0.3984055817127228,"ground and struck me violently with a stick. I could have torn him limb from limb, as the lion rends the antelope. But my heart sank within me as with bitter sickness, and I refrained. I saw him on the point of repeating"
1184,count_monte_cristo,The Count of Monte Cristo,Adventure,448,PC3,negative,-0.39378049969673157,"pass before the eye glowing with celestial colors in Martin’s Babylonian pictures. He could not do this, he whose past life was so short, whose present so melancholy, and his future so doubtful. Nineteen years of light t"
175,phantom_opera,The Phantom of the Opera,Gothic,372,PC3,negative,-0.3936096131801605,"and was nearly running into the house, to look for the voice among the killed and wounded, when I thought that, if the voice was safe, it would be sure to be in my dressing-room and I rushed to my room. The voice was not"
175,phantom_opera,The Phantom of the Opera,Gothic,678,PC3,negative,-0.39115455746650696,"will be the happiest of women. And we will sing, all by ourselves, till we swoon away with delight. You are crying! You are afraid of me! And yet I am not really wicked. Love me and you shall see! All I wanted was to be "
175,phantom_opera,The Phantom of the Opera,Gothic,181,PC3,negative,-0.388339102268219,"for death was all around him. It also, like the flowers, issued from the ground, which had flung back a number of its corpses. Skeletons and skulls by the hundred were heaped against the wall of the church, held in posit"
84,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus",Sci-Fi,676,PC3,negative,-0.3850202262401581,"him I should despair and die, left some mark to guide me. The snows descended on my head, and I saw the print of his huge step on the white plain. To you first entering on life, to whom care is new and agony unknown, how"
1257,three_musketeers,The Three Musketeers,Adventure,600,PC3,negative,-0.3787512481212616,"found his advantage. There are many stories related of him, and among them this. After a wild youth, he had retired into a convent, there to expiate, at least for some time, the follies of adolescence. On entering this h"
1184,count_monte_cristo,The Count of Monte Cristo,Adventure,4372,PC3,negative,-0.3772638142108917,"seemed to penetrate the abyss of despair and darkness. He had only to step over the corpse, enter the boudoir, take the child in his arms, and flee far, far away. Villefort was no longer the civilized man; he was a tiger"
1184,count_monte_cristo,The Count of Monte Cristo,Adventure,1191,PC3,negative,-0.37567055225372314,"saints withstood, and looks inflexible and ardent like those with which the serpent charms the bird; and then he gave way before looks that held him in a torturing grasp and delighted his senses as with a voluptuous kiss"
521,robinson_crusoe,Robinson Crusoe,Adventure,338,PC3,negative,-0.3690948784351349,"in my habitation, I was forced to lie till morning, and went to sleep again. In this second sleep I had this terrible dream: I thought that I was sitting on the ground, on the outside of my wall, where I sat when the sto"
1257,three_musketeers,The Three Musketeers,Adventure,1955,PC3,negative,-0.3566719889640808,"myself by a chair, feeling that I was about to fall, but this support was soon insufficient on account of my weak arms. I fell upon one knee, then upon both. I tried to pray, but my tongue was frozen. God doubtless neith"
521,robinson_crusoe,Robinson Crusoe,Adventure,21,PC4,positive,0.4824720025062561,"yet come to the pitch of hardness to which it has since, reproached me with the contempt of advice, and the breach of my duty to God and my father. All this while the storm increased, and the sea went very high, though n"
521,robinson_crusoe,Robinson Crusoe,Adventure,779,PC4,positive,0.4527132511138916,"myself; and if I should not fall into their hands, what I should do for provision, or whither I should bend my course; none of these thoughts, I say, so much as came in my way; but my mind was wholly bent upon the notion"
84,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus",Sci-Fi,694,PC4,positive,0.4367700219154358,"a tumultuous sea rolled between me and my enemy, and I was left drifting on a scattered piece of ice that was continually lessening and thus preparing for me a hideous death. In this manner many appalling hours passed; s"
521,robinson_crusoe,Robinson Crusoe,Adventure,682,PC4,positive,0.435696542263031,"sin than that of wilful murder if I had committed it; and I gave most humble thanks on my knees to God, that He had thus delivered me from blood-guiltiness; beseeching Him to grant me the protection of His providence, th"
120,treasure_island,Treasure Island,Adventure,480,PC4,positive,0.3914881944656372,"when we might beach her safely and wait till the subsiding tide permitted us to land. Then I lashed the tiller and went below to my own chest, where I got a soft silk handkerchief of my mother’s. With this, and with my a"
84,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus",Sci-Fi,549,PC4,positive,0.37325847148895264,"while my imagination conjured up a thousand images to torment and sting me. Why had I not followed him and closed with him in mortal strife? But I had suffered him to depart, and he had directed his course towards the ma"
1260,jane_eyre,Jane Eyre,Gothic,1708,PC4,positive,0.36349767446517944,"crying, nor any more pain, because the former things were passed away. The succeeding words thrilled me strangely as he spoke them: especially as I felt, by the slight, indescribable alteration in sound, that in uttering"
345,dracula,Dracula,Horror,1219,PC4,positive,0.3600304126739502,"kept their energies for use closer to home. Whilst they played wits against me--against me who commanded nations, and intrigued for them, and fought for them, hundreds of years before they were born--I was countermining "
84,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus",Sci-Fi,683,PC4,positive,0.3564356565475464,"for me the reward of my tedious toil and horrible pilgrimage! As I still pursued my journey to the northward, the snows thickened and the cold increased in a degree almost too severe to support. The peasants were shut up"
1260,jane_eyre,Jane Eyre,Gothic,1200,PC4,positive,0.34602147340774536,"to have laid me down in the dried-up bed of a great river; I heard a flood loosened in remote mountains, and felt the torrent come: to rise I had no will, to flee I had no strength. I lay faint, longing to be dead. One i"
120,treasure_island,Treasure Island,Adventure,454,PC4,positive,0.3375621438026428,"and not disturb the balance; but it is plain also that I can put the paddle over the side and from time to time, in smooth places, give her a shove or two towards land.” No sooner thought upon than done. There I lay on m"
1260,jane_eyre,Jane Eyre,Gothic,1851,PC4,positive,0.33063745498657227,clears their painful way to improvement; he hews down like a giant the prejudices of creed and caste that encumber it. He may be stern; he may be exacting; he may be ambitious yet; but his is the sternness of the warrior
1257,three_musketeers,The Three Musketeers,Adventure,2073,PC4,positive,0.3263329863548279,"what you mean,” replied Felton, quietly, “and I am ignorant of whom you are speaking, my Lord. I killed the Duke of Buckingham because he twice refused you yourself to appoint me captain; I have punished him for his inju"
1257,three_musketeers,The Three Musketeers,Adventure,1987,PC4,positive,0.32245582342147827,"the mortification of not having avenged myself. “He kept his word. All the day, all the next night passed away without my seeing him again. But I also kept my word with him, and I neither ate nor drank. I was, as I told "
120,treasure_island,Treasure Island,Adventure,512,PC4,positive,0.31995052099227905,"and both escaped out of my hands. They did not fall alone; with a choked cry, the coxswain loosed his grasp upon the shrouds and plunged head first into the water. XXVII “Pieces of Eight” Owing to the cant of the vessel,"
175,phantom_opera,The Phantom of the Opera,Gothic,580,PC4,negative,-0.42213380336761475,"must reach Christine at all costs. He therefore went on his knees also and hung from the trap with both hands. ""Let go!"" said a voice. And he dropped into the arms of the Persian, who told him to lie down flat, closed th"
35,time_machine,The Time Machine,Sci-Fi,16,PC4,negative,-0.4138546586036682,"hurry on ahead!” “To discover a society,” said I, “erected on a strictly communistic basis.” “Of all the wild extravagant theories!” began the Psychologist. “Yes, so it seemed to me, and so I never talked of it until—” “"
175,phantom_opera,The Phantom of the Opera,Gothic,819,PC4,negative,-0.39590775966644287,"managers' office by remembering that Erik had not been nicknamed the trap-door lover for nothing. I promised the Persian to do so as soon as I had time, and I may as well tell the reader at once that the results of my in"
175,phantom_opera,The Phantom of the Opera,Gothic,536,PC4,negative,-0.3948497772216797,"a low voice, as though fearing lest he should be overheard by invisible ears. ""The ghost! Suppose, all the same, it were a ghost who puts the magic envelopes on the table ... who talks in Box Five ... who killed Joseph B"
55,wonderful_wizard_oz,The Wonderful Wizard of Oz,Fantasy,265,PC4,negative,-0.37364286184310913,"mice came running up to her. Among them was the Queen herself, who asked, in her squeaky little voice: “What can I do for my friends?” “We have lost our way,” said Dorothy. “Can you tell us where the Emerald City is?” “C"
55,wonderful_wizard_oz,The Wonderful Wizard of Oz,Fantasy,171,PC4,negative,-0.37139660120010376,"tint. At his side was a large green box. When he saw Dorothy and her companions the man asked, “What do you wish in the Emerald City?” “We came here to see the Great Oz,” said Dorothy. The man was so surprised at this an"
55,wonderful_wizard_oz,The Wonderful Wizard of Oz,Fantasy,296,PC4,negative,-0.36987990140914917,"a balloonist.” “What is that?” asked Dorothy. “A man who goes up in a balloon on circus day, so as to draw a crowd of people together and get them to pay to see the circus,” he explained. “Oh,” she said, “I know.” “Well,"
1661,adventures_sherlock_holmes,The Adventures of Sherlock Holmes,Mystery,125,PC4,negative,-0.3691350817680359,"9, 1890.” Sherlock Holmes and I surveyed this curt announcement and the rueful face behind it, until the comical side of the affair so completely overtopped every other consideration that we both burst out into a roar of"
1661,adventures_sherlock_holmes,The Adventures of Sherlock Holmes,Mystery,645,PC4,negative,-0.36532407999038696,"every way to force the shutter open, but without success. There was no slit through which a knife could be passed to raise the bar. Then with his lens he tested the hinges, but they were of solid iron, built firmly into "
